생약품목코드,일반명,생약명,라틴명,원물생약명,학명,사용부위
KMH423,소계,Cephalanoplos Herb,Breeae Herba,"조뱅이, 큰조뱅이",Breea segeta Kitamura,전초
KMH432,속단,Dipsacus Root,Dipsaci Radix,천속단,Dipsacus asperoides,뿌리
KMH436,송화가루,Pine Pollen,Pini Pollen,소나무,Pinus densiflora Siebold,꽃가루
KMH442,수오등,Polygonum Vine,Polygoni Multiflori Caulis,하수오,Polygonum multiflorum Thunberg,덩굴줄기
KMH446,숙지황,Prepared Rehmannia Root,Rehmanniae Radix Preparata,지황,Rehmannia glutinosa Liboschitz,뿌리
KMH447,스코폴리아근,Scopolia Root,Scopoliae Rhizoma,미치광이풀,Scopolia japonica Maximowicz,뿌리줄기
KMH448,승마,Cimicifuga Rhizome,Cimicifugae Rhizoma,"승마, 눈빛승마, 눈승마, 촛대승마",Cimicifuga heracleifolia Komarov,뿌리줄기
KMH451,시티,Kaki Calyx,Kaki Calyx,감나무,Diospyros kaki Thunberg,꽃받침
KMH453,시호,Bupleurum Root,Bupleuri Radix,"시호, 참시호",Bupleurum falcatum Linn,뿌리
KMH454,식나무,Peucedanum Root,Peucedani Japonici Radix,갯기름나물,Peucedanum japonicum Thunberg,뿌리
KMH457,신이,Magnolia Bud,Magnoliae Flos,"망울목련, 백목련, 목련",Magnolia biondii Pampanini,꽃봉오리
KMH464,봉출,Zedoary Rhizome,Curcumae Rhizoma,"봉출, 온울금",Curcuma phaeocaulis Val.,뿌리줄기
KMH471,애엽,Artemisia Leaf,Artemisiae Argyi Folium,"황해쑥, 쑥, 강화쑥",Artemisia argyi Lev.,잎줄기
KMH483,야소루쟁이,Rumex Root,Rumecis Radix,"참소루쟁이, 야소루쟁이",Rumex japonicus Houttuyn,뿌리
KMH484,양파,Onion,Allii Cepa Bulbus,양파,Allium cepa L.,비늘줄기
KMH487,어성초,Houttuynia Herb,Houttuyniae Herba,약모밀,Houttuynia cordata Thunberg,지상부
KMH488,여로,Veratrum Root,Veratri Rhizoma Et Radix,"참여로, 박새",Veratrum nigrum Linn,뿌리
KMH489,여정실,Ligustrum Fruit,Ligustri Fructus,"광나무, 당광나무",Ligustrum lucidum Aiton,열매
KMH491,연교,Forsythia Fruit,Forsythiae Fructus,"의주개나리, 당개나리",Forsythia viridissima Lindley,열매
KMH495,연심,Lotus Plumule,Nelumbinis Plumula,연꽃,Nelumbo nucifera Gaertner,어린싹
KMH496,연자육,Lotus Seed,Nelumbinis Semen,연꽃,Nelumbo nucifera Gaertner,씨
KMH497,연전초,Glechoma Herb,Glechomae Herba,긴병꽃풀,Glechoma grandis,전초
KMH501,영실,Rosa Fruit,Rosae Multiflorae Fructus,찌르레기나무,Rosa multiflora Thunberg,열매
KMH505,예지자,Akebia Fruit,Akebiae Fructus,으름덩굴,Akebia quita Decaisne,열매
KMH506,오가피,Acanthopanax Bark,Acanthopacis Cortex,오갈피나무,Acanthopax sessiliflorum Seeman,뿌리줄기껍질
KMH510,오매,Mume Fruit,Mume Fructus,매실나무,Prunus mume Siebold,열매
KMH511,오미자,Schisandra Fruit,Schisandrae Fructus,오미자,Schisandra chinensis Baillon,열매
KMH513,오배자,Rhus Galls,Galla Rhois,붉나무,Rhus javanica Linn,벌레집
KMH514,오수유,Evodia Fruit,Evodiae Fructus,"오수유, 게오수유",Evodia rutaecarpa Bentham,열매
KMH517,오약,Lindera Root,Linderae Radix,오약,Lindera strichnifolia Ferndez Villar,뿌리
KMH519,옥죽,Polygonatum Rhizome,Polygoti Odorati Rhizoma,"둥굴레, 옥죽, 층층둥굴레",Polygotum odoratum Druce,뿌리줄기
KMH520,옥수수수염,Corn Silk,Maydis Stigma,옥수수,Zea mays Linn,암술머리
KMH522,와송,Orostachys Herb,Orostachydis Herba,바위솔,Orostachys japonicus A. Berger,전초
