생약품목코드,일반명,생약명,라틴명,원물생약명,학명,사용부위
KMH15,강활,Ostericum Root,Osterici seu Notopterygii Radix et Rhizoma,"강활, 중국강활, 관중강활","Ostericum koreanum Maximowicz, Notopterygium incisum Ting, Notopterygium forbesii Boissier","뿌리, 뿌리줄기"
KMH16,강황,Curcuma Longa Rhizome,Curcumae Longae Rhizoma,강황,Curcuma longa Linn,뿌리줄기
KMH17,개자,Mustard Seed,Brassicae Semen,"갓, 개자",Brassica juncea Czern. et Cosson,씨
KMH18,개자가루,Mustard Seed Powder,Pulvis Brassica Seminis,"갓, 개자",Brassica juncea Czern. et Cosson,씨
KMH19,갱미,Oryzae Semen,Oryzae Semen,벼,Oryza sativa Linn,씨
KMH21,건강,Ginger,Zingiberis Rhizoma,생강,Zingiber officile Roscoe,뿌리줄기
KMH22,건강가루,Ginger Powder,Pulvis Zingiberis Rhizomatis,생강,Zingiber officile Roscoe,뿌리줄기
KMH23,건강탄,Zingiberis Rhizoma Carbonisatum,Zingiberis Rhizoma Carbonisatum,생강,Zingiber officile Roscoe,뿌리줄기
KMH24,건율,Chestnut Seed,Castaneae Semen,밤나무,Castanea creta Siebold et Zuccarini,씨
KMH26,건칠,Lacca Rhois,Lacca Rhois Exsiccata,옻나무,Rhus verniciflua Stokes,수액을 말린 덩어리
KMH27,검인,Euryale Seed,Euryales Semen,가시연꽃,Euryale ferox Salisbury,씨
KMH28,겐티아나,Gentian,Gentiae Luteae Radix et Rhizoma,Gentia lutea,Gentia lutea Linn,"뿌리, 뿌리줄기"
KMH29,겐티아나가루,Gentian Powder,Pulvis Gentiae Luteae Radicis et Rhizomatis,Gentia lutea,Gentia lutea Linn,"뿌리, 뿌리줄기"
KMH30,견우자,Pharbitis Seed,Pharbitidis Semen,"나팔꽃, 둥근잎나팔꽃","Pharbitis nil Choisy, Pharbitis purpurea Voigt",씨
KMH31,결명자,Cassia Seed,Cassiae Semen,"결명자, 결명","Cassia tora Linn, Cassia obtusifolia Linn",씨
KMH34,경천,Hylotelephium Herb,Hylotelephii Herba,"꿩의비름, 기타 동속식물",Hylotelephium erythrostictum H. Ohva,전초
KMH35,계관화,Cockscomb Flower,Celosiae Cristatae Flos,맨드라미,Celosia cristata Linn,화서
KMH38,계피,Cinnamon Bark,Cassiae Cortex Interior,육계,Cinmomum cassia J.Presl,줄기껍질
KMH39,계지,Cinnamon Twig,Cinmomi Ramulus,육계,Cinmomum cassia J.Presl,어린가지
KMH40,계혈등,Spatholobus Stem,Spatholobi Caulis,밀화두,Spatholobus suberectus Dunn,가지줄기
KMH43,고량강,Alpinia Officinarum Rhizome,Alpiniae Officiri Rhizoma,고량강,Alpinia officirum Hance,뿌리줄기
KMH44,고련피,Melia Bark,Meliae Cortex,"멀구슬나무, 천련","Melia azedarach Linn, Melia toosendan Sieb. et Zucc.","수피, 뿌리껍질"
KMH45,고목,Picrasma Wood,Picrasmae Lignum,소나무,Picrasma quassioides Bennet,줄기
KMH46,고목가루,Picrasma Wood Powder,Pulvis Picrasmae Ligni,소나무,Picrasma quassioides Bennet,줄기
KMH47,고본,Ligusticum Rhizome,Ligustici Tenuissimi Rhizoma et Radix,"고본, 중국고본, 요고본","Ligusticum tenuissimum Kitagawa, Ligusticum sinense Oliv., Ligusticum jeholense kai et Kitagawa","뿌리줄기, 뿌리"
KMH48,고삼,Sophora Root,Sophorae Radix,고삼,Sophora flavescens Solander ex Aiton,뿌리
KMH49,고삼가루,Sophora Root Powder,Pulvis Sophorae Radicis,고삼,Sophora flavescens Solander ex Aiton,뿌리
KMH52,고추,Capsicum,Capsici Fructus,"고추, 당초",Capsicum annuum Linn,열매
KMH53,고추가루,Capsicum Powder,Pulvis Capsici Fructus,"고추, 당초",Capsicum annuum Linn,열매
KMH54,곡기생,Mistletoe,Visci Ramulus et Folium,겨우살이,Viscum album L. var. coloratum Ohwi,"잎, 줄기, 가지"
KMH55,곡아,Malt,Oryzae Fructus Germitus,벼,Oryza sativa Linn,"벼 열매 발아, 발아시킨 열매"
KMH57,곡정초,Eriocaulon Flower,Eriocauli Flos,"곡정초, 장구밥나무","Eriocaulon sieboldianum Siebold et Zuccarini, Eriocaulon buergerianum Koernicke",두상화서
KMH60,골담초근,Caragana Root,Caragae Radix,"골담초, 기타동속 식물",Caraga sinica (Buchoz) Rehder,뿌리
KMH61,골쇄보,Drynaria Rhizome,Dryriae Rhizoma,곡골,Dryria fortunei J. Smith,뿌리줄기
KMH66,과질,Melon Pedicel,Melonis Pedicellus,참외,Cucumis melo Linn,과두
KMH67,곽향,Agastache Herb,Agastachis Herba,배초향,Agastache rugosa (Fischer et Meyer) O. Kuntze,지상부
KMH68,관동화,Coltsfoot Flower,Farfarae Flos,관동,Tussilago farfara Linn,꽃봉오리
KMH71,관중,Drynaria Rhizome,Dryopteridis Crassirhizomatis Rhizoma,관중,Dryopteris crassirhizoma kai,"뿌리줄기, 엽병의 잔기"
KMH72,과루근,Trichosanthes Root,Trichosanthis Radix,"하늘타리, 노랑하늘타리","Trichosanthes kirilowii Maximowicz, Trichosanthes rosthornii Harms",뿌리
KMH73,과루인,Trichosanthes Seed,Trichosanthis Semen,"하늘타리, 노랑하늘타리","Trichosanthes kirilowii Maximowicz, Trichosanthes rosthornii Harms",씨
KMH74,광곽향,Pogostemon Herb,Pogostemonis Herba,광곽향,Pogostemon cablin Bentham,지상부
KMH75,금전초,Desmodium Herb,Desmodii Herba,금전초,Desmodium styracifolium (Osbeck) Merrill,전초
KMH77,괴각,Sophora Fruit,Sophorae Fructus,회화나무,Sophora japonica Linn,열매
KMH79,괴화,Sophora Flower,Sophorae Flos,회화나무,Sophora japonica Linn,"봉오리꽃, 꽃"
KMH83,구기자,Lycium Fruit,Lycii Fructus,"구기자나무, 영녕구기","Lycium chinense Miller, Lycium barbarum Linn",열매
KMH84,구맥,Dianthus Herb,Dianthi Herba,"술패랭이꽃, 패랭이꽃","Dianthus superbus var. longicalycinus Williams, Dianthus chinensis Linn",지상부
KMH85,구자,Leek Seed,Allii Tuberosi Semen,부추,Allium tuberosum Rottler,씨
KMH86,구절초,Chrysanthemum Zawadskii Herb,Chrysanthemi Zawadskii Herba,"구절초, 바위구절초","Chrysanthemum zawadskii Herbich var. latilobum (Maxim.) Kitamura, Chrysanthemum zawadskii var. coreanum (kai)",전초
KMH87,구척,Cibotium Rhizome,Cibotii Rhizoma,금모구척,Cibotium barometz J. Smith,뿌리줄기
KMH90,국화,Chrysanthemum Flower,Chrysanthmi Flos,감국,Chrysanthemum morifolium Ramatuelle,꽃
KMH91,권백,Selaginella Herb,Selaginellae Herba,"부처손, 바위손","Selaginella tamarisci Spring, Selaginella pulvita Maxim.",전초
KMH92,권삼,Bistort Rhizome,Bistortae Rhizoma,범꼬리,Bistorta manshuriensis Komarov,뿌리줄기
KMH94,귀전우,Euonymus Wing,Euonymi Ramuli Suberalatum,화살나무,Euonymus alatus Siebold,코르크
KMH106,금영자,Cherokee Rose Fruit,Rosae Laevigatae Fructus,금영자,Rosa laevigata Michaux,열매
KMH108,금은화,Honeysuckle Flower,Lonicerae Flos,인동덩굴,Lonicera japonica Thunberg,"봉오리꽃, 막 피기 시작한 꽃"
KMH109,금전초,Lysimachia Herb,Lysimachiae Herba,금전초,Lysimachia christie Hance,전초
KMH110,급성자,Balsam Seed,Impatientis Semen,봉선화,Impatiens balsami Linn,씨
KMH111,길경,Platycodon Root,Platycodonis Radix,도라지,Platycodon grandiflorum A. De Candolle,뿌리
KMH112,길경가루,Platycodon Root Powder,Pulvis Platycodonis Radicis,도라지,Platycodon grandiflorum A. De Candolle,뿌리
KMH113,길초근,Valerian Root,Valeriae Radix et Rhizoma,"쥐오줌풀, 발레리안 동속식물",Valeria fauriei Briquet,"뿌리, 뿌리줄기"
KMH118,낙석등,Trachelospermum Stem,Trachelospermi Caulis,"마삭줄, 털마삭줄","Trachelospermum jasminoides var. pubescens Makino, Trachelospermum asiaticum kai",잎이붙은줄기
KMH127,대극,Euphorbia Root,Euphorbiae Fischeriae Radix,"대극, 원화대극","Euphorbia fischeria Steudel, Euphorbia ebracteolata Hayata",뿌리
KMH129,나복자,Radish Seed,Raphani Semen,무,Raphanus sativus Linn,씨
KMH132,노근,Reed Rhizome,Phragmitis Rhizoma,갈대,Phragmites communis Trinius,뿌리줄기
KMH133,로로통,Sweetgalls Fruit,Liquidambaris Fructus,풍향나무,Liquidambar formosa Hance,열매
KMH135,노회,Aloe,Aloe,Aloe속 식물,"Aloe barbadensis Linn, Aloe ferox Miller",잎의즙액
KMH146,누로,Rhaponticum Root,Rhapontici Radix,"뻐꾹채, 절두산, 큰절두산","Rhaponticum uniflorum (L.) DC., Echinops setifer Linn",뿌리
KMH148,능소화,Trumpet Creeper Flower,Campsitis Flos,"능소화, 미국능소화","Campsis grandiflora Schumann, Campsis radicans Seemen",꽃
KMH151,녹차가루,Green Tea Powder,Camellia sinensis,녹차나무,Camellia sinensis (L) Kuntze,"어린 잎"
KMH153,단삼,Salvia Root,Salviae Miltiorrhizae Radix,단삼,Salvia miltiorrhiza Bunge,뿌리
KMH157,담죽엽,Lophatherum Herb,Lophatheri Herba,주름잎풀,Lophatherum gracile Bronghiart,잎과줄기
KMH158,당귀,Angelica Root,Angelicae Gigantis Radix,참당귀,Angelica gigas kai,뿌리
KMH159,당삼,Codonopsis Root,Codonopsis Pilosulae Radix,"당삼, 소화당삼, 천당삼","Codonopsis pilosula nnfeldt...",뿌리
KMH160,당약,Swertia Herb,Swertiae Herba,쓴풀,Swertia japonica Makino,전초
KMH161,대계,Thistle Herb,Cirsii Herba,"가시엉겅퀴, 기타엉겅퀴동속식물",Cirsium japonicum DC. var. ussuriense,전초
KMH162,대극,Euphorbia Pekinensis Root,Euphorbiae Pekinensis Radix,대극,Euphorbia pekinensis Ruprecht,뿌리
KMH165,대복피,Areca Husk,Arecae Pericarpium,빈랑,Areca catechu Linn,과피
KMH166,대산,Garlic Bulb,Allii Bulbus,마늘,Allium sativum Linn,비늘줄기
KMH171,대추,Jujube,Zizyphi Fructus,"대추나무, 보은대추나무",Zizyphus jujuba Miller var. inermis Rehder,열매
KMH173,대황,Rhubarb,Rhei Radix et Rhizoma,"장엽대황, 당구특대황, 약용대황",Rheum palmatum Linn,"뿌리, 뿌리줄기"
KMH179,도인,Peach Kernel,Persicae Semen,"복숭아나무, 산복사","Prunus persica Batsch, Prunus davidia Franchet",씨
KMH183,독활,Aralia Root,Araliae Continentalis Radix,독활,Aralia continentalis Kitagawa,뿌리
KMH186,동규자,Mallow Seed,Malvae Fructus,아욱,Malva verticillata Linn,열매
KMH198,두충,Eucommia Bark,Eucommiae Cortex,두충,Eucommia ulmoides Oliver,줄기껍질
KMH204,등심초,Juncus Pith,Junci Medulla,골풀,Juncus effusus Linn,줄기 안의 수
KMH205,등피,Bitter Orange Peel,Aurantii Pericarpuim,광귤나무,Citrus aurantium Linn,열매껍질
KMH215,마인,Hemp Seed,Canbis Semen,대마,Canbis sativa Linn,씨
KMH217,마치현,Purslane Herb,Portulacae Herba,쇠비름,Portulaca oleracea Linn,전초
KMH218,마편초,Verbena Herb,Verbee Herba,마편초,Verbe officilis Linn,지상부
KMH219,마황,Ephedra Herb,Ephedrae Herba,"초마황, 중마황, 목적마황",Ephedra sinica Stapf,초질줄기
KMH220,마황근,Ephedra Root,Ephdrae Radix et Rhizoma,"초마황, 중마황",Ephedra sinica Stapf,"뿌리, 뿌리줄기"
KMH224,만형자,Vitex Fruit,Viticis Fructus,"순비기나무, 만형","Vitex rotundifolia Linn fil., Vitex trifolia Linn",열매
KMH229,목단피,Moutan Root Bark,Moutan Radicis Cortex,모란,Paeonia suffruticosa Andrews,뿌리껍질
KMH231,맥문동,Liriope Tuber,Liriopis seu Ophiopogonis Tuber,"맥문동, 소엽맥문동","Liriope platyphylla Wang et Tang...",뿌리의 덩이뿌리
KMH232,맥아,Malt,Hordei Fructus Germitus,보리,Hordeum vulgare Linn,보리를 발아시킨 열매
KMH237,모근,Imperata Rhizome,Imperatae Rhizoma,띠,Imperata cylindrica Beauvois,뿌리줄기
KMH242,모과,Chaenomeles Fruit,Chaenomelis Fructus,"모과나무, 명자꽃나무",Chaenomeles sinensis (Thouin) Koehne,열매
KMH243,목련피,Hibiscus Bark,Hibisci Cortex,무궁화나무,Hibiscus syriacus Linn,"줄기껍질, 뿌리껍질"
